dept_no,department,year_no,year,violent
18,San Diego,17,1991,1219.919889
18,San Diego,18,1992,1284.191646
18,San Diego,19,1993,1160.000448
18,San Diego,20,1994,1077.957024
18,San Diego,21,1995,956.752242
18,San Diego,22,1996,868.5649335
18,San Diego,23,1997,827.7153146
18,San Diego,24,1998,725.2050214
18,San Diego,25,1999,598.3614698
18,San Diego,26,2000,585.2542096
18,San Diego,27,2001,594.2369051
18,San Diego,28,2002,567.1165439
18,San Diego,29,2003,578.748627
18,San Diego,30,2004,528.6545764
18,San Diego,31,2005,519.0433817
18,San Diego,32,2006,504.4808094
18,San Diego,33,2007,502.063121
18,San Diego,34,2008,475.5220559
18,San Diego,35,2009,451.1044872
18,San Diego,36,2010,429.5541846
18,San Diego,37,2011,387.5712933
18,San Diego,38,2012,413.0814351
18,San Diego,39,2013,393.0168546
18,San Diego,40,2014,380.9482059
18,San Diego,41,2015,407.8352293
19,San Francisco,1,1975,1363.77816
19,San Francisco,2,1976,1617.443609
19,San Francisco,3,1977,1384.370959
19,San Francisco,4,1978,1595.630805
19,San Francisco,5,1979,1674.969962
19,San Francisco,6,1980,1885.337091
19,San Francisco,7,1981,1735.462915
19,San Francisco,8,1982,1639.89281
19,San Francisco,9,1983,1402.863133
19,San Francisco,10,1984,1302.464426
19,San Francisco,11,1985,1295.510569
19,San Francisco,12,1986,1266.547997
19,San Francisco,13,1987,1210.782712
19,San Francisco,14,1988,1282.219631
19,San Francisco,15,1989,1340.144135
19,San Francisco,16,1990,1711.146626
19,San Francisco,17,1991,1645.380014
19,San Francisco,18,1992,1821.317512
19,San Francisco,19,1993,1814.967062
19,San Francisco,20,1994,1461.36295
19,San Francisco,21,1995,1476.628958
19,San Francisco,22,1996,1326.753694
19,San Francisco,23,1997,1133.460349
19,San Francisco,24,1998,989.664968
19,San Francisco,25,1999,866.2613982
19,San Francisco,26,2000,836.7096544
19,San Francisco,27,2001,857.4664294
19,San Francisco,28,2002,752.4193779
19,San Francisco,29,2003,741.5178774
19,San Francisco,30,2004,757.1483245
19,San Francisco,31,2005,798.8819657
19,San Francisco,32,2006,875.6374944
19,San Francisco,33,2007,874.081322
19,San Francisco,34,2008,844.9603079
19,San Francisco,35,2009,735.6546116
19,San Francisco,36,2010,713.7046949
19,San Francisco,37,2011,659.6285017
19,San Francisco,38,2012,704.2004576
19,San Francisco,39,2013,847.1415568
19,San Francisco,40,2014,795.1367409
19,San Francisco,41,2015,789.1388155
20,San Jose,1,1975,385.170569
20,San Jose,2,1976,452.3937601
20,San Jose,3,1977,469.8197968
20,San Jose,4,1978,468.8396092
20,San Jose,5,1979,534.8822218
20,San Jose,6,1980,603.0829191
20,San Jose,7,1981,639.2451882
20,San Jose,8,1982,547.9593213
20,San Jose,9,1983,514.9476197
20,San Jose,10,1984,480.4663805
20,San Jose,11,1985,491.4582572
20,San Jose,12,1986,556.3551816
20,San Jose,13,1987,599.6611326
20,San Jose,14,1988,640.5545189
20,San Jose,15,1989,598.3133764
20,San Jose,16,1990,600.5767992
20,San Jose,17,1991,658.4500252
20,San Jose,18,1992,668.8917867
20,San Jose,19,1993,656.8024824
20,San Jose,20,1994,725.5576613
20,San Jose,21,1995,808.0501188
20,San Jose,22,1996,731.598051
20,San Jose,23,1997,736.5599521
20,San Jose,24,1998,599.2715741
20,San Jose,25,1999,580.9280234
20,San Jose,26,2000,550.6495944
20,San Jose,27,2001,609.0772655
20,San Jose,28,2002,445.5600811
20,San Jose,29,2003,371.253668
20,San Jose,30,2004,371.844985
20,San Jose,31,2005,383.5137415
20,San Jose,32,2006,386.8347984
20,San Jose,33,2007,402.2243789
20,San Jose,34,2008,385.4222982
20,San Jose,35,2009,360.4787796
20,San Jose,36,2010,339.8728463
20,San Jose,37,2011,334.9835225
20,San Jose,38,2012,363.2512988
20,San Jose,39,2013,324.0460297
20,San Jose,40,2014,321.0921491
20,San Jose,41,2015,336.7406869
